EPSG,ESRI,Oracle
IRENET95,D_IRENET95,
Islands_Network_1993,D_Islands_Network_1993,
Israel,D_Israel,
Istituto_Geografico_Militaire_1995,,
,D_ISTS_061_1968,
,D_ITRF_1989,
,D_ITRF_1990,
,D_ITRF_1991,
,D_ITRF_1992,
,D_ITRF_1993,
,D_ITRF_1994,
,D_ITRF_1996,
,D_ITRF_1997,
,D_ITRF_2000,
Jamaica_1875,D_Jamaica_1875,
Jamaica_1969,,
Japanese_Geodetic_Datum_2000,D_JGD_2000,
Jednotne_Trigonometricke_Site_Katastralni,,
,D_Johnston_Island_1961,Johnston Island 1961
,D_Jordan,
,D_Juliet_2000,
,D_Jupiter_2000,
K0_1949,D_K0_1949,
Kalianpur_1880,D_Kalianpur_1880,
Kalianpur_1937,D_Kalianpur_1937,
Kalianpur_1962,D_Kalianpur_1962,
Kalianpur_1975,D_Kalianpur_1975,
Kandawala,D_Kandawala,Kandawala
Kartasto_Koordinaati_Jarjestelma_1966,,
,,Kerguelen Island
Kertau,D_Kertau,Kertau 1948
,D_KKJ,
Korean_Datum_1985,D_Korean_Datum_1985,
Korean_Datum_1995,D_Korean_Datum_1995,
Kousseri,D_Kousseri,
,D_Krasovsky_1940,
,D_Kusaie_1951,
Kuwait_Oil_Company,D_Kuwait_Oil_Company,
Kuwait_Utility,,
La_Canoa,D_La_Canoa,
Lake,D_Lake,
Latvia_1992,,
,D_LC5_1961,L.C. 5 Astro
Leigon,D_Leigon,
Liberia_1964,,Liberia 1964
,D_Lisbon,Lisboa (DLx)
Lisbon_1890,D_Lisbon_1890,
Lisbon_1890_Lisbon,,
Lisbon_1937,,
Lisbon_1937_Lisbon,,
Lithuania_1994_ETRS89,D_Lithuania_1994,
Locodjo_1965,D_Locodjo_1965,
Loma_Quintana,D_Loma_Quintana,
Lome,,
Luxembourg_1930,D_Luxembourg_1930,
Luzon_1911,D_Luzon_1911,Luzon (Mindanao Island)
,,Luzon (Philippines)
Madeira_1936,D_Madeira_1936,
Madrid_1870_Madrid,D_Madrid_1870,
Madzansua,D_Madzansua,
Mahe_1971,D_Mahe_1971,Mahe 1971
Makassar,D_Makassar,
,,Marco Astro
Makassar_Jakarta,,
Malongo_1987,,
Manoca,D_Manoca,
Manoca_1962,D_Manoca_1962,
,D_Mars_2000,
Massawa,D_Massawa,Massawa
Merchich,D_Merchich,
,,Melrica 1973 (D73)
,,Melrica 1973 (D73)
,,Merchich
,,Midway Astro 1961
,D_Metis_2000,
,D_MGI,
Mhast,D_Mhast,
Militar_Geographische_Institute,,
Militar_Geographische_Institut_Ferro,,
Minna,D_Minna,Minna
Monte_Mario,D_Monte_Mario,
Monte_Mario_Rome,,
Montserrat_1958,D_Montserrat_1958,
,D_Moon_2000,
MOP78,D_MOP78,
Mount_Dillon,D_Mount_Dillon,
Moznet_ITRF94,D_Moznet,
M_poraloko,D_Mporaloko,
NAD83_Canadian_Spatial_Reference_System,,
NAD83_High_Accuracy_Regional_Network,,
NAD_Michigan,,
,D_NAD_1927_CGQ77,
,D_NAD_1927_Definition_1976,
,D_NAD_1983_HARN_Adj_MN_Anoka,
,D_NAD_1983_HARN_Adj_MN_Becker,
,D_NAD_1983_HARN_Adj_MN_Beltrami_North,
,D_NAD_1983_HARN_Adj_MN_Beltrami_South,
,D_NAD_1983_HARN_Adj_MN_Benton,
,D_NAD_1983_HARN_Adj_MN_Big_Stone,
,D_NAD_1983_HARN_Adj_MN_Blue_Earth,
,D_NAD_1983_HARN_Adj_MN_Brown,
